,Time_s,Speaker,Probability,Country,Gender
0,0,Jack Whitehall,0.22133277,UK,m
1,0,Zach Braff,0.12445606,USA,m
2,0,Dawn French,0.0820045,UK,f
0,1,Jim Caviezel,0.19683428,USA,m
1,1,Matt Bomer,0.18569402,USA,m
2,1,Douglas Booth,0.12246752,UK,m
0,2,Jim Caviezel,0.19258933,USA,m
1,2,Ben Whishaw,0.111775644,UK,m
2,2,Zach Braff,0.060723253,USA,m
0,3,Douglas Booth,0.20639795,UK,m
1,3,Ben Whishaw,0.19681366,UK,m
2,3,Corbin Bleu,0.06672087,USA,m
0,4,Douglas Booth,0.34746793,UK,m
1,4,Ben Whishaw,0.20987546,UK,m
2,4,Ryan Phillippe,0.033254623,USA,m
0,5,Douglas Booth,0.29398173,UK,m
1,5,Olivia Williams,0.079548076,UK,f
2,5,Taylor Lautner,0.041254066,USA,m
0,6,Joseph Gordon-Levitt,0.1537289,USA,m
1,6,Kathryn McCormick,0.13539392,USA,f
2,6,Douglas Booth,0.060390055,UK,m
0,7,Joseph Gordon-Levitt,0.18119442,USA,m
1,7,Kathryn McCormick,0.0861141,USA,f
2,7,Corbin Bleu,0.07623577,USA,m
0,8,Corbin Bleu,0.24632646,USA,m
1,8,Douglas Booth,0.21448843,UK,m
2,8,Jonathan Jackson,0.07407628,USA,m
0,9,Douglas Booth,0.3576105,UK,m
1,9,Corbin Bleu,0.2108327,USA,m
2,9,Jonathan Jackson,0.050723966,USA,m
0,10,Steve Jobs,0.2406894,USA,m
1,10,Zach Braff,0.16232039,USA,m
2,10,Joseph Gordon-Levitt,0.1283989,USA,m
0,11,Brett Davern,0.19673218,USA,m
1,11,Michael Bay,0.15885219,USA,m
2,11,Steve Jobs,0.08749081,USA,m
0,12,Ron Livingston,0.3733894,USA,m
1,12,Lucas Grabeel,0.11761146,USA,m
2,12,Joseph Gordon-Levitt,0.08174091,USA,m
0,13,Ron Livingston,0.25671723,USA,m
1,13,Lucas Grabeel,0.215297,USA,m
2,13,Joseph Gordon-Levitt,0.13725281,USA,m
0,14,Joseph Gordon-Levitt,0.38196886,USA,m
1,14,Andrew Garfield,0.1595294,USA,m
2,14,Shailene Woodley,0.055076472,USA,f
0,15,Shailene Woodley,0.52272,USA,f
1,15,Joseph Gordon-Levitt,0.099468924,USA,m
2,15,Andrew Garfield,0.05438362,USA,m
0,16,Shailene Woodley,0.41630802,USA,f
1,16,Matthew Modine,0.105949484,USA,m
2,16,Todd Lasance,0.0438562,Australia,m
0,17,Todd Lasance,0.2848229,Australia,m
1,17,Jesse Spencer,0.08419727,Australia,m
2,17,Shailene Woodley,0.07470994,USA,f
0,18,Todd Lasance,0.2615144,Australia,m
1,18,Lou Diamond Phillips,0.13114546,USA,m
2,18,John Lloyd Young,0.07991335,USA,m
0,19,Cliff Curtis,0.16470064,New Zealand,m
1,19,Ron Livingston,0.1096591,USA,m
2,19,Todd Lasance,0.10844077,Australia,m
0,20,John Lloyd Young,0.29848796,USA,m
1,20,Ron Livingston,0.22715043,USA,m
2,20,Todd Lasance,0.07046943,Australia,m
0,21,Ron Livingston,0.26825017,USA,m
1,21,John Lloyd Young,0.15057743,USA,m
2,21,Corbin Bleu,0.13534558,USA,m
0,22,Ron Livingston,0.31555292,USA,m
1,22,Michael Bay,0.1315993,USA,m
2,22,Corbin Bleu,0.07012996,USA,m
0,23,Zach Braff,0.56744736,USA,m
1,23,Cliff Curtis,0.14000021,New Zealand,m
2,23,Michael Bay,0.07759267,USA,m
0,24,Zach Braff,0.8180616,USA,m
1,24,John Lasseter,0.029923989,USA,m
2,24,Marc Forster,0.017016882,Switzerland,m
0,25,Zach Braff,0.73238194,USA,m
1,25,John Lasseter,0.066146545,USA,m
2,25,Michael Bay,0.038073294,USA,m
0,26,Zach Braff,0.55322754,USA,m
1,26,Michael Bay,0.13327761,USA,m
2,26,Steve Jobs,0.08057796,USA,m
0,27,Zach Braff,0.7173745,USA,m
1,27,Michael Bay,0.06435556,USA,m
2,27,Joe Flanigan,0.049055286,USA,m
0,28,Zach Braff,0.12738988,USA,m
1,28,Alex Trebek,0.09270869,USA,m
2,28,Steve Jobs,0.07077664,USA,m
0,29,Zach Braff,0.48800156,USA,m
1,29,Daniel Craig,0.054690883,UK,m
2,29,Alex Trebek,0.0387463,USA,m
0,30,Zach Braff,0.2777569,USA,m
1,30,Ron Livingston,0.10513607,USA,m
2,30,Chace Crawford,0.0957115,USA,m
0,31,Ryan Phillippe,0.12172083,USA,m
1,31,Ben Stiller,0.11291942,USA,m
2,31,Matthew Modine,0.10196897,USA,m
0,32,Ryan Phillippe,0.44018003,USA,m
1,32,Matthew Modine,0.111797735,USA,m
2,32,Garrett Hedlund,0.060144134,USA,m
0,33,Ben Stiller,0.45551592,USA,m
1,33,Taylor Kitsch,0.07652264,Canada,m
2,33,Cillian Murphy,0.06048996,Ireland,m
0,34,Ben Stiller,0.4343809,USA,m
1,34,Naomie Harris,0.071358636,UK,f
2,34,Noel Fielding,0.06504039,UK,m
0,35,Ben Stiller,0.74766415,USA,m
1,35,Naomie Harris,0.09242449,UK,f
2,35,Noel Fielding,0.07094052,UK,m
0,36,Ben Stiller,0.8194912,USA,m
1,36,Naomie Harris,0.051070046,UK,f
2,36,James Frain,0.031556033,UK,m
0,37,Ben Stiller,0.86041725,USA,m
1,37,Kevin Bacon,0.06744665,USA,m
2,37,James Frain,0.020542921,UK,m
0,38,Ben Stiller,0.8779447,USA,m
1,38,Kevin Bacon,0.07081861,USA,m
2,38,Matthew Macfadyen,0.007005295,UK,m
0,39,Ben Stiller,0.71159023,USA,m
1,39,Kevin Bacon,0.1501091,USA,m
2,39,Matthew Macfadyen,0.055264983,UK,m
0,40,Ben Stiller,0.87147933,USA,m
1,40,Kevin Bacon,0.056182075,USA,m
2,40,Matthew Macfadyen,0.012340522,UK,m
0,41,Ben Stiller,0.57799214,USA,m
1,41,Matthew Macfadyen,0.2553371,UK,m
2,41,Kevin Bacon,0.074038394,USA,m
0,42,Ben Stiller,0.811894,USA,m
1,42,Kevin Bacon,0.044391595,USA,m
2,42,Matthew Macfadyen,0.027507817,UK,m
0,43,Ben Stiller,0.9498404,USA,m
1,43,Diego Klattenhoff,0.010303022,Canada,m
2,43,Kevin Bacon,0.009724718,USA,m
0,44,Ben Stiller,0.89249253,USA,m
1,44,Ben McKenzie,0.08464745,USA,m
2,44,Kevin Bacon,0.011220678,USA,m
0,45,Ben Stiller,0.97739273,USA,m
1,45,Ben McKenzie,0.018238222,USA,m
2,45,Kevin Bacon,0.0010286068,USA,m
0,46,Ben Stiller,0.8648912,USA,m
1,46,Tim Burton,0.045923572,USA,m
2,46,Patrick Wilson,0.008368953,USA,m
0,47,Ben Stiller,0.9536096,USA,m
1,47,Kevin Bacon,0.008671009,USA,m
2,47,Matthew Macfadyen,0.0038038415,UK,m
0,48,Ben Stiller,0.8039079,USA,m
1,48,Kevin Bacon,0.057915155,USA,m
2,48,William Fichtner,0.014943282,USA,m
0,49,Ben Stiller,0.47491097,USA,m
1,49,Kevin Bacon,0.31923535,USA,m
2,49,Matthew Macfadyen,0.04355626,UK,m
0,50,Mya,0.08604086,USA,f
1,50,Marc Forster,0.06886397,Switzerland,m
2,50,Scott Speedman,0.067353316,Canada,m
0,51,Naomie Harris,0.13199253,UK,f
1,51,Maria Menounos,0.101286046,USA,f
2,51,Michaela Conlin,0.09629968,USA,f
0,52,Naomie Harris,0.17066179,UK,f
1,52,Chiwetel Ejiofor,0.0847593,UK,m
2,52,Audra McDonald,0.06537454,USA,f
0,53,Naomie Harris,0.17066179,UK,f
1,53,Chiwetel Ejiofor,0.0847593,UK,m
2,53,Audra McDonald,0.06537454,USA,f
0,54,Naomie Harris,0.17066179,UK,f
1,54,Chiwetel Ejiofor,0.0847593,UK,m
2,54,Audra McDonald,0.06537454,USA,f
0,55,Naomie Harris,0.17066179,UK,f
1,55,Chiwetel Ejiofor,0.0847593,UK,m
2,55,Audra McDonald,0.06537454,USA,f
0,56,Naomie Harris,0.17066179,UK,f
1,56,Chiwetel Ejiofor,0.0847593,UK,m
2,56,Audra McDonald,0.06537454,USA,f
0,57,Naomie Harris,0.17066179,UK,f
1,57,Chiwetel Ejiofor,0.0847593,UK,m
2,57,Audra McDonald,0.06537454,USA,f
0,58,Naomie Harris,0.16329795,UK,f
1,58,Chiwetel Ejiofor,0.080516346,UK,m
2,58,Audra McDonald,0.06506207,USA,f
